"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (20% density)"
"05/27/2025 01:09:35:721 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[run number]","init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
"10","500","10","20","5000","100","19","18.02856222484699","15.795125093954688","5612","3085","453","78.4","84.2","8283","612"
"8","500","10","20","5000","100","11","5.709259555413401","12.29809691348153","5332","1841","495","44.4","47.8","6314","332"
"2","500","10","20","5000","100","10","4.526315789473685","11","5272","1644","498","36.8","40","5323","272"
"5","500","10","20","5000","100","16","13.813959114551832","15.8461352364824","5486","2660","471","71.2","78.4","6943","486"
"9","500","10","20","5000","100","19","18.557459783408685","16.044579960046264","5564","3194","453","79.80000000000001","84.6","7754","564"
"1","500","10","20","5000","100","11","5.801150369761709","11.766639276910436","5234","1811","494","43.4","47.599999999999994","4444","234"
"10","500","10","20","5000","100","20","19.777361631294216","16.01123595505618","5647","3259","445","77.2","84.8","8571","647"
"3","500","10","20","5000","100","18","22.634611123421227","18.457788610680257","5545","3015","442","80","86.6","7981","545"
"9","500","10","20","5000","100","20","20.656370656370658","16.03332655964235","5600","3355","442","80.2","83.8","7831","600"
"5","500","10","20","5000","100","17","15.828092243186584","16.165851385977174","5523","2839","462","74","81.8","7281","523"
"7","500","10","20","5000","100","12","6.788079470198675","12.733293196869354","5302","1953","496","50","53","5800","302"
"4","500","10","20","5000","100","11","4.972642420341165","10.766012230447377","5266","1870","496","42.4","45.2","5232","266"
"6","500","10","20","5000","100","13","7.889518413597734","13.441926345609065","5331","2162","494","57.599999999999994","62.6","5700","331"
"10","500","10","20","5000","100","21","21.677757612421857","16.041540633192174","5669","3430","434","75.2","83.39999999999999","8732","669"
