BehaviorSpace results (NetLogo 6.4.0),Stats version 2.0,,,,,,,,,,,,,,,,,,,,,,
FinalProject.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Effect of Water Density on Dengue Spread (10% density),,,,,,,,,,,,,,,,,,,,,,,
05/27/2025 01:10:17:249 +0800,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,35,0,35,,,,,,,,,,,,,,,,,,,,
init-total-humans,init-n-turtles-infected,water-density,init-total-mosquitoes,max-ticks,[step],(mean) mosquito infect humans,(std) mosquito infect humans,(mean) humans infect mosquito,(std) humans infect mosquito,(mean) total-mosquitoes,(std) total-mosquitoes,(mean) mosquito-death-toll,(std) mosquito-death-toll,(mean) cur-human-population,(std) cur-human-population,(mean) %infected-humans,(std) %infected-humans,(mean) %recovered-humans,(std) %recovered-humans,(mean) total-larvae,(std) total-larvae,(mean) total-hatched-larvae,(std) total-hatched-larvae
500,10,10,5000,100,63,36.34481856,1.32298955,13.81652198,0.364729895,5452.9,55.83090542,5406.4,51.45133623,318.5,17.26991604,4.62,1.996897594,63.66,3.435171029,5034.7,723.2070312,452.9,55.83090542
500,10,10,5000,100,64,36.35270989,1.324982905,13.8127986,0.362137962,5453.3,55.75132285,5410.2,51.79536659,318.1,17.42096438,4.1,1.962141687,63.58,3.465775526,5034.7,723.2070312,453.3,55.75132285
500,10,10,5000,100,65,36.35604158,1.323257428,13.80934196,0.361732721,5454,55.93031378,5413.3,52.99820752,317.9,17.27686314,3.74,1.802331823,63.54,3.437499091,5034.7,723.2070312,454,55.93031378
500,10,10,5000,100,66,36.36381856,1.32107025,13.80786584,0.361949556,5454.4,56.08243932,5415.8,53.87355567,317.6,17.47111903,3.22,1.625915127,63.48,3.47701021,5034.7,723.2070312,454.4,56.08243932
500,10,10,5000,100,67,36.36689936,1.31618776,13.80291661,0.361579262,5454.7,56.17125599,5418.7,54.44639566,317.5,17.48284874,2.8,1.299230542,63.46,3.479137824,5034.7,723.2070312,454.7,56.17125599
500,10,10,5000,100,68,36.36847331,1.316330056,13.80015618,0.36318847,5454.7,56.17125599,5421.9,56.26091005,317.4,17.52826289,2.44,1.199333148,63.44,3.488036697,5039.1,722.1665251,454.7,56.17125599
500,10,10,5000,100,69,36.37276633,1.317525586,13.7956943,0.363248159,5454.8,56.24197721,5424.4,56.77710806,317.3,17.57299064,2.04,1.019019136,63.42,3.497942252,5039.1,722.1665251,454.8,56.24197721
500,10,10,5000,100,70,36.37502752,1.314325372,13.79195568,0.361711735,5454.8,56.24197721,5426.2,55.63955428,317.3,17.57299064,1.78,0.836420947,63.42,3.497942252,5048.7,726.6867344,454.8,56.24197721
500,10,10,5000,100,71,36.37705314,1.313917155,13.78759543,0.360831674,5454.8,56.24197721,5427.7,55.71005295,317.1,17.58664266,1.54,0.785111457,63.38,3.50137116,5048.7,726.6867344,454.8,56.24197721
500,10,10,5000,100,72,36.38032466,1.315825693,13.7837292,0.360626223,5454.9,56.15060107,5429.5,55.25803109,317,17.69745744,1.28,0.705407684,63.36,3.523407442,5048.7,726.6867344,454.9,56.15060107
